experiment_id,provider,model,args,timestamp,turns_played,score
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:48:49.159071,4,1
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:48:51.936931,3,0
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:48:53.574964,3,0
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:48:56.647337,5,2
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:00.230877,5,2
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:04.327549,5,2
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:06.375571,3,0
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:09.959588,5,2
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:13.133799,4,1
1,xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:15.796719,4,1
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:49:48.562402,3,0
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:51:00.143128,6,1
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:51:57.078204,5,1
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:52:34.660534,3,0
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:53:19.203769,4,0
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:54:07.505387,4,0
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:55:05.392624,5,1
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:57:21.792291,11,2
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:58:20.800966,5,0
2,xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",2025-02-16T19:59:17.199990,5,1
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:08:53.186714,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:08:59.125781,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:03.938520,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:11.516146,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:16.303220,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:19.114029,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:24.064094,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:28.787814,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:33.615400,3,0
3,google,gemini-2.0-flash,{'cot': 0},2025-02-16T20:09:37.963734,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:09:51.963327,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:10:06.504039,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:10:22.375772,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:10:34.542530,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:10:46.422989,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:10:58.624851,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:11:10.605560,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:11:24.975997,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:11:36.818825,3,0
4,google,gemini-2.0-flash,{'cot': 1},2025-02-16T20:11:51.463081,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:11:56.176254,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:00.319112,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:02.771987,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:05.286872,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:07.742384,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:10.051179,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:12.045197,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:14.164871,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:16.755640,3,0
5,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},2025-02-16T20:12:19.827577,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:12:25.869193,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:12:31.296294,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:12:36.416116,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:06.316954,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:12.768172,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:18.838556,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:26.360494,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:32.019187,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:38.533247,3,0
6,google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},2025-02-16T20:13:46.389027,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:47.377153,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:48.503251,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:49.322795,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:50.346467,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:51.535350,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:52.703552,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:53.817015,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:54.853104,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:55.980669,3,0
7,google,gemini-1.5-flash,{'cot': 0},2025-02-16T20:13:57.104879,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:14:11.033530,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:14:24.959725,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:14:36.735520,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:14:48.869205,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:15:03.564793,3,0
8,google,gemini-1.5-flash,{'cot': 1},2025-02-16T20:15:18.412232,3,0
